Movie,LeadStudio,RottenTomatoes,AudienceScore,Genre,TheatersOpenWeek,OpeningWeekend,BOAvgOpenWeekend,Budget,DomesticGross,WorldGross,ForeignGross,Year
Rough Night,Sony Pictures Releasing,44,29,Black Comedy,3162,8,2530,20,22.11,46.84,24.73,2017
Same Kind of Different as Me,Pure Flix Entertainment,33,86,Drama,1362,2.59,1902,6.5,6.42,6.42,0,2017
Smurfs: The Lost Village,Sony Pictures Releasing,40,54,Adventure,3610,13.21,3659,60,45.02,197.58,152.56,2017
Snatched,Twentieth Century Fox,36,30,Comedy,3501,19.54,5581,42,45.85,57.85,12,2017
Spider-Man: Homecoming,Sony Pictures Releasing,92,87,Action,4348,117.03,26916,175,334.2,880.17,545.97,2017
Split,Universal Pictures,77,79,Horror,3038,40.01,13170,5,138.29,278.96,140.67,2017
Star Wars: Episode VIII - The Last Jedi,Walt Disney Studios Motion Pictures,91,43,Adventure,4232,220.01,51987,262,620.18,1332.54,712.36,2017
Stronger,Roadside Attractions,90,80,Drama,573,1.61,2810,30,4.21,8.79,4.58,2017
T2 Trainspotting,TriStar Pictures,81,78,Drama,5,0.17,34000,18,2.4,42.09,39.69,2017
Table 19,Fox Searchlight Pictures,26,40,Comedy,868,1.6,1843,5,3.61,4.62,1.01,2017
Thank You for Your Service,Universal Pictures,77,73,Drama,2054,3.82,1860,20,9.54,9.99,0.45,2017
The Belko Experiment,BH Tilt,52,40,Horror,1341,4.14,3087,5,10.17,11.79,1.62,2017
The Big Sick,Lionsgate,98,88,Romantic Comedy,5,0.42,84000,5,42.87,53.97,11.1,2017
The Boss Baby,Twentieth Century Fox,52,51,Adventure,3773,50.2,13305,125,175,510.88,335.88,2017
The Bye Bye Man,STX Entertainment,19,22,Thriller,2220,13.5,6081,7.4,22.4,31.19,8.79,2017
The Circle,STX Entertainment,15,21,Thriller,3163,9.03,2855,18,20.5,40.65,20.15,2017
The Dark Tower,Sony Pictures Releasing,16,45,Western,3451,19.15,5549,60,50.7,113.46,62.76,2017
The Disaster Artist,A24,91,86,Comedy,19,1.21,63684,10,21.12,28.72,7.6,2017
The Emoji Movie,Sony Pictures Releasing,7,38,Adventure,4075,24.53,6020,50,86.09,216.56,130.47,2017
The Fate of the Furious,Universal Pictures,67,72,Action,4310,98.79,22921,250,226.01,1238.76,1012.75,2017
The Florida Project,A24,96,80,Drama,4,0.16,40000,2,5.9,11.3,5.4,2017
The Foreigner,STX Entertainment,65,72,Action,2515,13.11,5213,35,34.39,140.78,106.39,2017
The Founder,The Weinstein Company,81,82,Drama,1115,3.4,3049,15,12.79,24.4,11.61,2016
The Great Wall,Universal Pictures,36,42,Action,3326,18.47,5553,150,45.54,334.49,288.95,2017
The Greatest Showman,Twentieth Century Fox,56,86,Musical,3006,8.81,2931,84,174.34,440.97,266.63,2017
The Hitman's Bodyguard,Lionsgate,43,67,Action,3377,21.38,6331,30,75.47,172.78,97.31,2017
The House,Warner Bros.,20,35,Comedy,3134,8.72,2782,40,25.58,31.19,5.61,2017
The Lego Batman Movie,Warner Bros.,89,80,Adventure,4088,53,12965,80,175.75,310.66,134.91,2017
The Lego Ninjago Movie,Warner Bros.,55,46,Adventure,4047,20.43,5048,70,59.28,122.74,63.46,2017
The Lost City of Z,Bleecker Street Media,86,57,Action,4,0.11,27500,30,8.58,17.12,8.54,2017
The Mummy,Universal Pictures,16,35,Adventure,4035,31.69,7854,195,80.23,409.95,329.72,2017
The Nut Job 2: Nutty by Nature,Open Road Films (II),14,44,Adventure,4003,8.34,2083,40,28.37,57.44,29.07,2017
The Post,Twentieth Century Fox,88,73,Drama,9,0.53,58889,50,81.9,179.77,97.87,2017
The Promise,Open Road Films (II),51,92,Drama,2251,4.1,1821,90,8.22,10.55,2.33,2017
The Resurrection of Gavin Stone,BH Tilt,50,83,Comedy,890,1.21,1360,2,2.3,2.3,0,2017
The Shape of Water,Fox Searchlight Pictures,92,72,Drama,2,0.17,85000,19.5,63.86,195.79,131.93,2017
The Snowman,Universal Pictures,7,18,Thriller,1812,3.37,1860,35,6.7,43.23,36.53,2017
The Space Between Us,STX Entertainment,17,55,Drama,2812,3.78,1344,30,7.89,16.48,8.59,2017
The Square,Magnolia Pictures,85,70,Drama,4,0.07,17500,1.9,1.5,0.74,-0.76,2017
The Star,Sony Pictures Releasing,42,71,Adventure,2837,9.81,3458,20,40.85,62.76,21.91,2017
The Wall,Roadside Attractions,65,42,Thriller,540,0.9,1667,3,1.8,4.5,2.7,2017
The Zookeeper's Wife,Focus Features,63,76,Drama,541,3.29,6081,20,17.45,26.31,8.86,2017
Thor: Ragnarok,Walt Disney Studios Motion Pictures,93,87,Action,4080,122.74,30083,180,315.06,853.96,538.9,2017
"Three Billboards Outside Ebbing, Missouri",Fox Searchlight Pictures,90,87,Drama,4,0.32,80000,12,54.51,160.19,105.68,2017
Transformers: The Last Knight,Paramount Pictures,15,44,Action,4069,44.68,10981,217,130.17,602.89,472.72,2017
Tulip Fever,The Weinstein Company,10,43,Drama,765,1.16,1516,25,2.46,6.79,4.33,2017
Underworld: Blood Wars,Screen Gems,19,49,Action,3070,13.69,4459,35,30.35,81.21,50.86,2017
Unforgettable,Warner Bros.,26,33,Thriller,2417,4.79,1982,12,11.37,16.22,4.85,2017
Valerian and the City of a Thousand Planets,STX Entertainment,47,53,Adventure,3553,17.01,4788,180,41.19,215.1,173.91,2017
Victoria & Abdul,Focus Features,66,67,Drama,4,0.16,40000,21,22.25,68.27,46.02,2017
War for the Planet of the Apes,Twentieth Century Fox,94,84,Action,4022,56.26,13988,152,146.88,489.59,342.71,2017
Wind River,The Weinstein Company,88,90,Thriller,4,0.16,40000,11,33.8,43.98,10.18,2017
Wish Upon,Broad Green Pictures,20,30,Horror,2250,5.47,2431,12,14.3,23.48,9.18,2017
Wonder,Lionsgate,85,88,Drama,3096,27.55,8899,20,132.42,304.6,172.18,2017
Wonder Woman,Warner Bros.,93,88,Action,4165,103.25,24790,150,412.56,821.13,408.57,2017
xXx: Return of Xander Cage,Paramount Pictures,45,37,Action,3651,20.13,5514,85,44.9,345.03,300.13,2017
Youth,China Lion Film Distribution,81,91,Drama,30,0.34,11333,13,1.89,24,22.11,2017
12 Strong,Warner Bros.,51,62,Drama,3002,15.82,5270,35,45.82,71.12,25.3,2018
A Quiet Place,Paramount Pictures,95,83,Horror,3508,50.2,14310,17,188.02,336.16,148.14,2018
A Simple Favor,Lionsgate,85,73,Thriller,3102,16.01,5161,20,53.55,97.63,44.08,2018
A Star Is Born,Warner Bros.,90,79,Drama,3686,42.91,11641,36,215.29,434.89,219.6,2018
A Wrinkle in Time,Walt Disney Studios Motion Pictures,42,27,Adventure,3980,33.12,8322,103,100.48,133.4,32.92,2018
Action Point,Paramount Pictures,13,25,Comedy,2032,2.39,1176,19,5.06,5.1,0.04,2018
Adrift,STX Entertainment,70,65,Drama,3015,11.6,3847,35,31.45,57.9,26.45,2018
Alpha,Studio 8,80,71,Adventure,2719,10.35,3807,51,35.86,99.62,63.76,2018
Annihilation,Paramount Pictures,88,66,Thriller,2012,11.07,5502,55,32.73,43.07,10.34,2018
Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,88,76,Action,4206,75.81,18024,130,216.65,623.14,406.49,2018
Aquaman,Warner Bros.,65,74,Action,4125,67.87,16453,160,335.06,1146.89,811.83,2018
Assassination Nation,Neon,73,55,Thriller,1403,1.05,748,7,2.01,2.85,0.84,2018
Avengers: Infinity War,Walt Disney Studios Motion Pictures,85,91,Action,4474,257.7,57599,300,678.82,2048.36,1369.54,2018
Bad Times at the El Royale,Twentieth Century Fox,75,73,Thriller,2808,7.13,2539,32,17.84,29.2,11.36,2018
Beautiful Boy,Amazon Studios,69,76,Drama,4,0.22,55000,25,7.65,13.31,5.66,2018
Ben Is Back,Roadside Attractions,82,69,Drama,4,0.08,20000,13,3.7,9.63,5.93,2018
Black Panther,Walt Disney Studios Motion Pictures,97,79,Action,4020,202,50249,200,700.06,1346.91,646.85,2018
BlacKkKlansman,Focus Features,96,82,Thriller,1512,10.85,7176,15,49.28,93.41,44.13,2018
Blockers,Universal Pictures,83,50,Comedy,3379,20.56,6085,21,60.31,94.05,33.74,2018
Blumhouse's Truth or Dare,Universal Pictures,16,22,Horror,3029,18.67,6164,4,41.41,95.33,53.92,2018
Bohemian Rhapsody,Twentieth Century Fox,61,85,Drama,4000,51.06,12765,55,216.43,903.53,687.1,2018
Book Club,Paramount Pictures,54,52,Comedy,2781,13.58,4883,10,68.57,91.33,22.76,2018
Boy Erased,Focus Features,80,74,Drama,5,0.21,42000,11,6.79,11.86,5.07,2018
Breaking In,Universal Pictures,26,32,Thriller,2537,17.63,6949,6,46.84,51.49,4.65,2018
Bumblebee,Paramount Pictures,92,74,Adventure,3550,21.65,6099,102,127.2,465.2,338,2018
Can You Ever Forgive Me?,Fox Searchlight Pictures,98,80,Drama,5,0.16,32000,10,8.8,12.52,3.72,2018
Christopher Robin,Walt Disney Studios Motion Pictures,73,83,Adventure,3602,24.59,6827,75,99.22,197.5,98.28,2018
Crazy Rich Asians,Warner Bros.,91,76,Romantic Comedy,3384,26.51,7834,30,174.53,238.1,63.57,2018
Creed II,Metro-Goldwyn-Mayer (MGM),84,80,Drama,3441,35.57,10337,50,115.72,213.59,97.87,2018
Deadpool 2,Twentieth Century Fox,84,85,Action,4349,125.51,28860,110,318.49,786.68,468.19,2018
Death of a Nation,Quality Flix,0,88,Documentary,1005,2.36,2348,6,5.89,5.89,0,2018
Death Wish,Metro-Goldwyn-Mayer (MGM),18,72,Action,2847,13.01,4570,30,34.02,48.58,14.56,2018
Den of Thieves,STX Entertainment,41,62,Action,2432,15.21,6254,30,44.95,80.15,35.2,2018
Dr. Seuss' The Grinch,Universal Pictures,59,51,Adventure,4141,67.57,16317,75,270.62,511.54,240.92,2018
Early Man,Lionsgate,81,49,Adventure,2494,3.19,1279,50,8.27,45.29,37.02,2018
Eighth Grade,A24,99,83,Drama,4,0.26,65000,2,13.54,14.35,0.81,2018
Every Day,Orion Pictures,62,55,Drama,1667,3.02,1812,5,6.1,10.42,4.32,2018
Fahrenheit 11/9,Briarcliff Entertainment,82,60,Documentary,1719,3.01,1751,5,6.35,6.65,0.3,2018
Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,37,55,Adventure,4163,62.16,14932,200,159.56,652.22,492.66,2018
Fifty Shades Freed,Universal Pictures,12,37,Drama,3768,38.56,10234,55,100.41,371.99,271.58,2018
First Man,Universal Pictures,87,67,Drama,3640,16.01,4398,60,44.94,105.7,60.76,2018
First Reformed,A24,93,68,Thriller,4,0.1,25000,3.5,3.45,3.99,0.54,2018
Forever My Girl,Roadside Attractions,24,80,Drama,1114,4.25,3815,3.5,16.38,16.38,0,2018
Game Night,Warner Bros.,85,77,Comedy,3488,17.01,4877,37,69.18,117.38,48.2,2018
Goosebumps 2: Haunted Halloween,Sony Pictures Releasing,48,39,Horror,3521,15.8,4487,35,46.7,93.29,46.59,2018
Gotti,Vertical Entertainment,60,46,Drama,503,1.72,3419,10,4.34,6.09,1.75,2018
Green Book,Universal Pictures,78,91,Comedy,25,0.32,12800,23,85.08,323.4,238.32,2018
Halloween,Universal Pictures,79,70,Horror,3928,76.22,19404,15,159.34,255.49,96.15,2018
Hearts Beat Loud,Gunpowder & Sky,91,73,Drama,4,0.07,17500,2,2.39,2.42,0.03,2018
Hell Fest,Lionsgate,41,41,Horror,2297,5.13,2233,5.5,11.11,18.12,7.01,2018
Hereditary,A24,89,66,Horror,2964,13.58,4582,10,44.07,81.3,37.23,2018
Holmes & Watson,Sony Pictures Releasing,11,26,Comedy,2776,7.41,2669,42,30.57,41.93,11.36,2018
Hotel Artemis,Global Road Entertainment,56,33,Thriller,2407,3.23,1342,15,6.71,13.32,6.61,2018
Hotel Transylvania 3: Summer Vacation,Sony Pictures Releasing,62,49,Adventure,4267,44.08,10330,65,167.51,527.06,359.55,2018
Hunter Killer,Lionsgate,36,69,Thriller,2728,6.65,2438,40,15.77,31.67,15.9,2018
I Can Only Imagine,Roadside Attractions,61,91,Drama,1629,17.11,10503,7,83.48,85.72,2.24,2018
I Feel Pretty,STX Entertainment,36,35,Comedy,3440,16.03,4660,32,48.8,91.55,42.75,2018
If Beale Street Could Talk,Annapurna Pictures,95,70,Drama,4,0.22,55000,12,14.92,19.86,4.94,2018
Incredibles 2,Walt Disney Studios Motion Pictures,94,84,Adventure,4410,182.69,41426,200,608.58,1242.81,634.23,2018
Indivisible,Pure Flix Entertainment,72,86,Drama,830,1.5,1807,2.7,3.51,3.59,0.08,2018
Insidious: The Last Key,Universal Pictures,33,52,Horror,3116,29.58,9493,10,67.75,172.81,105.06,2018
Instant Family,Paramount Pictures,82,82,Comedy,3286,14.5,4413,48,67.36,119.74,52.38,2018
Johnny English Strikes Again,Universal Pictures,37,49,Comedy,544,1.64,3015,25,4.41,158.97,154.56,2018
Jurassic World: Fallen Kingdom,Universal Pictures,48,48,Action,4475,148.02,33077,170,417.72,1308.47,890.75,2018
Kin,Lionsgate,32,54,Action,2141,3.04,1420,30,5.72,10.38,4.66,2018
Life of the Party,Warner Bros.,38,40,Comedy,3656,17.89,4893,30,53.06,65.76,12.7,2018
"Love, Simon",Twentieth Century Fox,92,88,Drama,2402,11.76,4896,10,40.83,65.52,24.69,2018
Mamma Mia! Here We Go Again,Universal Pictures,80,66,Musical,3317,34.95,10537,75,120.63,395.04,274.41,2018
Mary Poppins Returns,Walt Disney Studios Motion Pictures,79,65,Musical,4090,23.52,5751,130,171.96,349.56,177.6,2018
Mary Queen of Scots,Focus Features,63,41,Drama,4,0.19,47500,25,16.47,47.02,30.55,2018
Maze Runner: The Death Cure,Twentieth Century Fox,43,59,Thriller,3787,24.17,6382,61,58.03,265.88,207.85,2018
Mile 22,STX Entertainment,23,44,Action,3520,13.71,3895,35,36.11,66.3,30.19,2018
Mission: Impossible - Fallout,Paramount Pictures,97,87,Action,4386,61.24,13963,178,220.16,787.46,567.3,2018
Mortal Engines,Universal Pictures,27,50,Action,3103,7.56,2436,100,15.95,85.29,69.34,2018
Night School,Universal Pictures,27,38,Comedy,3010,27.26,9056,29,77.34,103.11,25.77,2018
Nobody's Fool,Paramount Pictures,23,35,Drama,2468,13.74,5567,19,31.71,32.59,0.88,2018
Ocean's Eight,Warner Bros.,69,45,Action,4145,41.61,10039,70,140.22,297.12,156.9,2018
On the Basis of Sex,Focus Features,74,76,Drama,33,0.69,20909,20,24.62,38.8,14.18,2018
Operation Finale,Metro-Goldwyn-Mayer (MGM),60,65,Drama,1818,6.02,3311,24,17.61,17.61,0,2018
Overboard,Pantelion Films,24,55,Romantic Comedy,1623,14.71,9063,12,50.32,85.37,35.05,2018
Overlord,Paramount Pictures,81,67,Action,2859,10.2,3568,38,21.7,41.66,19.96,2018
Pacific Rim: Uprising,Universal Pictures,44,39,Action,3708,28.12,7584,155,59.87,290.93,231.06,2018
"Paul, Apostle of Christ",Affirm Films,46,81,Drama,1473,5.17,3510,5,17.56,25.53,7.97,2018
Peppermint,STX Entertainment,12,71,Action,2980,13.42,4503,25,35.42,51.8,16.38,2018
Peter Rabbit,Sony Pictures Releasing,64,56,Adventure,3725,25.01,6714,50,115.25,347.13,231.88,2018
